# Out-of-sample ladder: Calgary corpus (18 files), LZ4HC-9 literals, PH, M4, reps=7
# 372KB total lits; files 2.9-66KB; extractor identical to the Silesia pipeline.
# Nudge/auto/exact design frozen from Silesia tuning — nothing adjusted for Calgary.
# (bench gained inner-loop timing so tiny files span >= ~8MB per timed region)

LADDER G=4K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
book1.lits    exact   0.6647       706     11662      5434     13399      27.3       3/3
book2.lits      off   0.7104      1375      7647      3918      8345      10.5         -
book2.lits    nudge   0.7111      1288      9483      4655     10271      12.5       2/2
book2.lits     auto   0.7109       908     10757      4945     11983      20.0       2/2
book2.lits    exact   0.7112       585     10798      4916     11983      33.5       2/2
geo.lits        off   0.7739      1002      7699      3759      7954      22.5         -
geo.lits      nudge   0.7735       986      8210      4282      9057      24.0       1/2
geo.lits       auto   0.7739       695      7114      3732      7756      36.0       0/2
geo.lits      exact   0.7719       250      8980      4600      9817     116.5       2/2
news.lits       off   0.7508      1383      8010      3888      8690      12.0         -
news.lits     nudge   0.7523      1371      9773      4451     10600      13.0       2/2
news.lits      auto   0.7526      1132     12149      5420     13304      18.0       2/2
news.lits     exact   0.7529       622     11659      5286     12935      36.5       2/2
obj1.lits       off   0.9239       539      5788      3464      7407      13.0         -
obj1.lits     nudge   0.9293       598      7394      4405      9346      12.0       1/1
obj1.lits      auto   0.9295       365      8172      4815     10773      21.0       1/1
obj1.lits     exact   0.9274        77      7588      4911      9839     106.0       1/1
obj2.lits       off   0.9126       994      6832      3623      7693      14.5         -
obj2.lits     nudge   0.9117       866      8030      4013      9038      18.0       2/2
obj2.lits      auto   0.9186       634      9308      5184     10745      27.5       2/2
obj2.lits     exact   0.9152       198      9391      5271     10636      96.5       2/2
paper1.lits     off   0.7292       747      6201      3476      7827       7.0         -
paper1.lits   nudge   0.7265       775      7719      4183      9825       7.0       1/1
paper1.lits    auto   0.7282       385      8722      5076     11478      16.0       1/1
paper1.lits   exact   0.7274       243      8786      4941     11589      26.0       1/1
paper2.lits     off   0.6788       906      7221      3856      8869       7.0         -
paper2.lits   nudge   0.6788       739      6980      3739      8777       9.0       0/1
paper2.lits    auto   0.6757       400     10001      4789     12486      19.0       1/1
paper2.lits   exact   0.6765       225      9449      4572     11918      35.0       1/1
paper3.lits     off   0.6847       844      7121      3596      9178       6.0         -
paper3.lits   nudge   0.6847       749      7020      3608      8963       7.0       0/1
paper3.lits    auto   0.6811       461      9732      4872     12672      13.0       1/1
paper3.lits   exact   0.6811       218      9721      4858     12672      29.0       1/1
paper4.lits     off   0.7135       645      5720      3468      8375       4.0         -
paper4.lits   nudge   0.7135       535      5670      3441      8333       5.0       0/1
paper4.lits    auto   0.7100       322      6510      3738      9884       9.0       1/1
paper4.lits   exact   0.7100       139      6490      3716      9758      22.0       1/1
paper5.lits     off   0.7579       712      4188      2639      6223       3.0         -
paper5.lits   nudge   0.7503       506      5604      3781      8440       5.0       1/1
paper5.lits    auto   0.7459       301      6483      4141     10168       9.0       1/1
paper5.lits   exact   0.7456       142      6831      4766     11038      20.0       1/1
paper6.lits     off   0.7405       735      6098      3569      7991       6.0         -
paper6.lits   nudge   0.7405       654      6036      3739      8045       7.0       0/1
paper6.lits    auto   0.7410       422      8391      4784     11621      12.0       1/1
paper6.lits   exact   0.7407       212      8722      4890     12267      25.0       1/1
pic.lits        off   0.7088      1193      8567      4118      9226      19.0         -
pic.lits      nudge   0.7119      1272     11150      5244     12168      19.0       1/1
pic.lits       auto   0.7129      1165     12997      5904     14576      22.0       1/1
pic.lits      exact   0.7081       473     12721      5778     14087      62.0       1/1
progc.lits      off   0.7586       751      6456      3818      8555       6.0         -
progc.lits    nudge   0.7620       672      7678      4142     10039       7.0       1/1
progc.lits     auto   0.7583       428      8844      5041     12007      12.0       1/1
progc.lits    exact   0.7583       199      8890      4723     12378      27.0       1/1
progl.lits      off   0.7241       789      5403      3305      7166       5.0         -
progl.lits    nudge   0.7172       640      8038      4722     11371       7.0       1/1
progl.lits     auto   0.7187       245      8292      4500     11309      20.0       1/1
progl.lits    exact   0.7183       192      8852      5167     12581      26.0       1/1
progp.lits      off   0.7635       598      5483      3602      7444       6.0         -
progp.lits    nudge   0.7635       693      5455      3578      7391       5.0       0/1
progp.lits     auto   0.7581       360      7725      4503     11216      11.0       1/1
progp.lits    exact   0.7600       180      7511      4607     10938      23.0       1/1
trans.lits      off   0.7588       840      6910      3695      8773       7.0         -
trans.lits    nudge   0.7584       700      7443      4068      9308       9.0       1/1
trans.lits     auto   0.7586       435     10140      5195     13586      16.0       1/1
trans.lits    exact   0.7584       209     10365      5646     13608      35.0       1/1
== geomean over 18 files (G=32K)
   off: enc-e2e    829 ( +0.0%)  dec-e2e   6571 ( +0.0%)  enc-k   3530  dec-k   8049  ratio +0.000pp
 nudge: enc-e2e    793 ( -4.3%)  dec-e2e   7577 (+15.3%)  enc-k   4076  dec-k   9363  ratio -0.027pp
  auto: enc-e2e    498 (-39.9%)  dec-e2e   9145 (+39.2%)  enc-k   4803  dec-k  11638  ratio -0.073pp
 exact: enc-e2e    242 (-70.8%)  dec-e2e   9232 (+40.5%)  enc-k   4911  dec-k  11810  ratio -0.130pp

LADDER G=64K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
bib.lits        off   0.7277       339      6829      2568      7167      30.0         -
bib.lits      nudge   0.7277       733      8974      3966      9836      13.0       0/1
bib.lits       auto   0.7295       412     10474      4875     12426      26.0       1/1
bib.lits      exact   0.7298       223     10461      4762     12537      50.0       1/1
book1.lits      off   0.6619      1484      8313      3945      8752      14.0         -
book1.lits    nudge   0.6619      1517      8313      3940      8780      13.5       0/2
book1.lits     auto   0.6629      1235     12470      5599     13703      21.0       2/2
book1.lits    exact   0.6629       952     12433      5588     13792      29.0       2/2
book2.lits      off   0.7104      1446      8151      3781      8699      19.0         -
book2.lits    nudge   0.7097      1472     10729      4818     11429      21.0       1/1
book2.lits     auto   0.7163      1300     14067      6153     15129      27.0       1/1
book2.lits    exact   0.7147       879     13589      5837     14503      43.0       1/1
geo.lits        off   0.7708      1153      8299      4017      8693      38.0         -
geo.lits      nudge   0.7714      1154      9422      4638      9852      40.0       1/1
geo.lits       auto   0.7708       927      8282      4011      8675      51.0       0/1
geo.lits      exact   0.7714       378      9738      4824     10476     150.0       1/1
news.lits       off   0.7498      1487      7905      3775      8395      21.0         -
news.lits     nudge   0.7497      1593     10250      4545     10721      21.0       1/1
news.lits      auto   0.7506      1222     12758      5627     13717      33.0       1/1
news.lits     exact   0.7506       855     12817      5574     13475      51.0       1/1
obj1.lits       off   0.9239       579      5923      3535      7520      12.0         -
obj1.lits     nudge   0.9293       524      7533      4493      9461      14.0       1/1
obj1.lits      auto   0.9295       311      8016      4865     10310      25.0       1/1
obj1.lits     exact   0.9274        79      7527      4948      9908     103.0       1/1
obj2.lits       off   0.9097      1161      7985      3884      8561      24.0         -
obj2.lits     nudge   0.9097      1195      7977      3875      8518      23.0       0/1
obj2.lits      auto   0.9175       889      9616      5168     10298      37.0       1/1
obj2.lits     exact   0.9143       311      9727      5121     10387     120.0       1/1
paper1.lits     off   0.7292       743      6133      3383      7733       7.0         -
paper1.lits   nudge   0.7265       691      7545      4069      9790       8.0       1/1
paper1.lits    auto   0.7282       363      8570      4921     11415      17.0       1/1
paper1.lits   exact   0.7274       194      8650      4811     11478      33.0       1/1
paper2.lits     off   0.6788       892      7341      3606      9438       7.0         -
paper2.lits   nudge   0.6788       739      7147      3736      8879       9.0       0/1
paper2.lits    auto   0.6757       365      9883      4775     12617      21.0       1/1
paper2.lits   exact   0.6765       198      9492      4531     11901      40.0       1/1
paper3.lits     off   0.6847       842      7103      3567      9021       6.0         -
paper3.lits   nudge   0.6847       748      6927      3577      8849       7.0       0/1
paper3.lits    auto   0.6811       460      9588      4824     12465      13.0       1/1
paper3.lits   exact   0.6811       233      9566      4830     12502      27.0       1/1
paper4.lits     off   0.7135       535      5524      3418      8219       5.0         -
paper4.lits   nudge   0.7135       534      5517      3395      8219       5.0       0/1
paper4.lits    auto   0.7100       267      6338      3628      9769      11.0       1/1
paper4.lits   exact   0.7100       123      6286      3652      9758      25.0       1/1
paper5.lits     off   0.7579       568      4074      2554      6209       4.0         -
paper5.lits   nudge   0.7503       432      5519      3782      8457       6.0       1/1
paper5.lits    auto   0.7459       273      6355      4118     10011      10.0       1/1
paper5.lits   exact   0.7456       110      6776      4830     10909      26.0       1/1
paper6.lits     off   0.7405       735      6058      3567      7976       6.0         -
paper6.lits   nudge   0.7405       742      6243      3747      8571       6.0       0/1
paper6.lits    auto   0.7410       392      8357      4803     11637      13.0       1/1
paper6.lits   exact   0.7407       184      8731      4895     12412      29.0       1/1
pic.lits        off   0.7088      1345      8585      4132      9236      16.0         -
pic.lits      nudge   0.7119      1271     11135      5221     12150      19.0       1/1
